Source,Target
Boxing,Boxing Men's Light-Welterweight
Boxing Men's Light-Welterweight,Manut Boonjumnong
Manut Boonjumnong,25512
25512,Gold
Boxing,Boxing Men's Light-Welterweight
Boxing Men's Light-Welterweight,Manut Boonjumnong
Manut Boonjumnong,25513
25513,Silver
Taekwondo,Taekwondo Women's Flyweight
Taekwondo Women's Flyweight,Yaowapa Boorapolchai
Yaowapa Boorapolchai,25543
25543,Bronze
Boxing,Boxing Men's Welterweight
Boxing Men's Welterweight,Arkom Chenglai
Arkom Chenglai,39640
39640,Bronze
Taekwondo,Taekwondo Men's Flyweight
Taekwondo Men's Flyweight,Tawin Hanprab
Tawin Hanprab,90102
90102,Silver
Weightlifting,Weightlifting Women's Featherweight
Weightlifting Women's Featherweight,Prapawadee Jaroenrattanatarakoon
Prapawadee Jaroenrattanatarakoon,106625
106625,Gold
Boxing,Boxing Men's Flyweight
Boxing Men's Flyweight,Somjit Jongjohor
Somjit Jongjohor,110296
110296,Gold
Weightlifting,Weightlifting Women's Lightweight
Weightlifting Women's Lightweight,Wandee Kameaim
Wandee Kameaim,112610
112610,Bronze
Boxing,Boxing Men's Featherweight
Boxing Men's Featherweight,Somluck Kamsing
Somluck Kamsing,112759
112759,Gold
Boxing,Boxing Men's Bantamweight
Boxing Men's Bantamweight,Vichai Khadpo
Vichai Khadpo,116666
116666,Bronze
Weightlifting,Weightlifting Men's Bantamweight
Weightlifting Men's Bantamweight,Sinphet Kruaithong
Sinphet Kruaithong,127578
127578,Bronze
Boxing,Boxing Men's Bantamweight
Boxing Men's Bantamweight,Phajol Moolsan
Phajol Moolsan,162556
162556,Bronze
Boxing,Boxing Men's Bantamweight
Boxing Men's Bantamweight,Worapoj Petchkoom
Worapoj Petchkoom,186513
186513,Silver
Weightlifting,Weightlifting Women's Featherweight
Weightlifting Women's Featherweight,Udomporn Polsak
Udomporn Polsak,191019
191019,Gold
Boxing,Boxing Men's Light-Flyweight
Boxing Men's Light-Flyweight,Kaeo Pongprayoon
Kaeo Pongprayoon,191201
191201,Silver
Boxing,Boxing Men's Flyweight
Boxing Men's Flyweight,Wijan Ponlid
Wijan Ponlid,191226
191226,Gold
Boxing,Boxing Men's Light-Flyweight
Boxing Men's Light-Flyweight,Payao Poontarat
Payao Poontarat,191365
191365,Bronze
Boxing,Boxing Men's Middleweight
Boxing Men's Middleweight,Suriya Prasathinphimai
Suriya Prasathinphimai,192717
192717,Bronze
Taekwondo,Taekwondo Women's Flyweight
Taekwondo Women's Flyweight,Buttree Puedpong
Buttree Puedpong,194038
194038,Silver
Weightlifting,Weightlifting Women's Lightweight
Weightlifting Women's Lightweight,Pimsiri Sirikaew
Pimsiri Sirikaew,221620
221620,Silver
Weightlifting,Weightlifting Women's Lightweight
Weightlifting Women's Lightweight,Pimsiri Sirikaew
Pimsiri Sirikaew,221621
221621,Silver
Taekwondo,Taekwondo Women's Flyweight
Taekwondo Women's Flyweight,Chanatip Sonkham
Chanatip Sonkham,225260
225260,Bronze
Weightlifting,Weightlifting Women's Lightweight
Weightlifting Women's Lightweight,Sukanya Srisurat
Sukanya Srisurat,226961
226961,Gold
Weightlifting,Weightlifting Women's Lightweight
Weightlifting Women's Lightweight,Khassaraporn Suta
Khassaraporn Suta,232640
232640,Bronze
Weightlifting,Weightlifting Women's Flyweight
Weightlifting Women's Flyweight,Sopita Tanasan
Sopita Tanasan,236100
236100,Gold
Boxing,Boxing Men's Light-Middleweight
Boxing Men's Light-Middleweight,Pornchai Thongburan
Pornchai Thongburan,239473
239473,Bronze
Weightlifting,Weightlifting Women's Heavyweight
Weightlifting Women's Heavyweight,Pawina Thongsuk
Pawina Thongsuk,239478
239478,Gold
Boxing,Boxing Men's Light-Welterweight
Boxing Men's Light-Welterweight,Thawee Umponmaha
Thawee Umponmaha,246272
246272,Silver
Weightlifting,Weightlifting Women's Flyweight
Weightlifting Women's Flyweight,Arlee Wiratthaworn
Arlee Wiratthaworn,261979
261979,Bronze
Taekwondo,Taekwondo Women's Flyweight
Taekwondo Women's Flyweight,Panipak Wongpattanakit
Panipak Wongpattanakit,262712
262712,Bronze
Boxing,Women's Light (57-60kg)
Women's Light (57-60kg),Sudaporn Seesondee
Sudaporn Seesondee,11939
11939,Bronze
Taekwondo,Women -49kg
Women -49kg,Panipak Wongpattanakit
Panipak Wongpattanakit,14506
14506,Gold
Weightlifting,Women's 49kg
Women's 49kg,Surodchana Khambao
Surodchana Khambao,1898024
1898024,Bronze
Weightlifting,Men's 61kg
Men's 61kg,Theerapong Silachai
Theerapong Silachai,1898059
1898059,Silver
Weightlifting,Men's 73kg
Men's 73kg,Weeraphon Wichuma
Weeraphon Wichuma,1898067
1898067,Silver
Boxing,Women's 66kg
Women's 66kg,Janjaem Suwannapheng
Janjaem Suwannapheng,1898283
1898283,Bronze
Taekwondo,Women -49kg
Women -49kg,Panipak Wongpattanakit
Panipak Wongpattanakit,1902841
1902841,Gold
Badminton,Men's Singles
Men's Singles,Kunlavut Vitidsarn
Kunlavut Vitidsarn,1926294
1926294,Silver
